lga_name,date,year,month_num,month_name,month_label,age_group,sex,Assault,Grievous Assault,Serious Assault,Sexual Offences,Robbery,Armed Robbery,Unlawful Entry,Other Property Damage,Fraud,Breach Domestic Violence Protection Order,Drink Driving
Aurukun Shire Council,2014-09-01,2014,9,September,Sep 2014,Juvenile,Male,0,0,0,0,1,1,15,3,0,0,0
Aurukun Shire Council,2014-10-01,2014,10,October,Oct 2014,Adult,Female,3,0,1,0,0,0,0,4,0,1,0
Aurukun Shire Council,2014-10-01,2014,10,October,Oct 2014,Adult,Male,4,2,0,0,1,1,3,7,0,8,2
Aurukun Shire Council,2014-10-01,2014,10,October,Oct 2014,Juvenile,Female,0,0,0,0,0,0,0,1,0,0,0
Aurukun Shire Council,2014-10-01,2014,10,October,Oct 2014,Juvenile,Male,0,0,0,0,2,2,3,5,0,0,0
Aurukun Shire Council,2014-11-01,2014,11,November,Nov 2014,Adult,Female,1,0,0,0,1,1,3,3,0,0,0
Aurukun Shire Council,2014-11-01,2014,11,November,Nov 2014,Adult,Male,0,0,0,0,0,0,6,2,0,3,0
Aurukun Shire Council,2014-11-01,2014,11,November,Nov 2014,Juvenile,Female,0,0,0,0,0,0,1,0,0,0,0
Aurukun Shire Council,2014-11-01,2014,11,November,Nov 2014,Juvenile,Male,0,0,0,0,0,0,8,0,0,0,0
Aurukun Shire Council,2014-12-01,2014,12,December,Dec 2014,Adult,Female,3,0,0,0,0,0,1,2,0,1,0
Aurukun Shire Council,2014-12-01,2014,12,December,Dec 2014,Adult,Male,7,0,3,0,0,0,14,5,0,6,0
Aurukun Shire Council,2014-12-01,2014,12,December,Dec 2014,Juvenile,Male,2,0,2,0,0,0,34,4,0,0,0
Aurukun Shire Council,2015-01-01,2015,1,January,Jan 2015,Adult,Female,3,1,0,0,0,0,0,3,0,0,0
Aurukun Shire Council,2015-01-01,2015,1,January,Jan 2015,Adult,Male,9,1,2,0,0,0,2,4,0,7,1
Aurukun Shire Council,2015-02-01,2015,2,February,Feb 2015,Adult,Female,1,0,1,0,0,0,0,3,0,0,0
Aurukun Shire Council,2015-02-01,2015,2,February,Feb 2015,Adult,Male,6,1,4,0,0,0,0,2,0,3,0
Aurukun Shire Council,2015-02-01,2015,2,February,Feb 2015,Juvenile,Male,0,0,0,0,0,0,13,2,0,0,0
Aurukun Shire Council,2015-03-01,2015,3,March,Mar 2015,Adult,Male,11,0,5,1,0,0,3,2,0,0,1
Aurukun Shire Council,2015-03-01,2015,3,March,Mar 2015,Juvenile,Female,0,0,0,0,0,0,1,0,0,0,0
Aurukun Shire Council,2015-03-01,2015,3,March,Mar 2015,Juvenile,Male,0,0,0,0,0,0,8,1,0,0,0
Aurukun Shire Council,2015-04-01,2015,4,April,Apr 2015,Adult,Female,10,1,6,0,0,0,0,2,0,0,0
Aurukun Shire Council,2015-04-01,2015,4,April,Apr 2015,Adult,Male,5,0,2,0,1,1,0,8,1,1,2
Aurukun Shire Council,2015-04-01,2015,4,April,Apr 2015,Juvenile,Male,1,0,1,0,0,0,0,1,0,0,0
Aurukun Shire Council,2015-05-01,2015,5,May,May 2015,Adult,Female,0,0,0,0,0,0,0,1,0,0,0
Aurukun Shire Council,2015-05-01,2015,5,May,May 2015,Adult,Male,6,0,0,0,0,0,1,3,0,6,0
Aurukun Shire Council,2015-05-01,2015,5,May,May 2015,Juvenile,Female,1,0,0,0,0,0,0,1,0,0,0
Aurukun Shire Council,2015-06-01,2015,6,June,Jun 2015,Adult,Female,2,0,0,0,0,0,0,0,0,0,0
Aurukun Shire Council,2015-06-01,2015,6,June,Jun 2015,Adult,Male,3,1,0,0,0,0,3,3,0,1,0
Aurukun Shire Council,2015-06-01,2015,6,June,Jun 2015,Juvenile,Female,1,1,0,0,0,0,0,0,0,0,0
Aurukun Shire Council,2015-06-01,2015,6,June,Jun 2015,Juvenile,Male,1,0,1,0,2,2,17,2,0,0,1
Aurukun Shire Council,2015-07-01,2015,7,July,Jul 2015,Adult,Female,1,0,1,0,0,0,0,0,0,1,0
Aurukun Shire Council,2015-07-01,2015,7,July,Jul 2015,Adult,Male,95,43,4,0,1,1,5,1,0,4,0
Aurukun Shire Council,2015-07-01,2015,7,July,Jul 2015,Juvenile,Male,0,0,0,0,0,0,6,1,0,0,0
Aurukun Shire Council,2015-08-01,2015,8,August,Aug 2015,Adult,Female,2,0,1,0,0,0,0,3,0,0,0
Aurukun Shire Council,2015-08-01,2015,8,August,Aug 2015,Adult,Male,20,0,6,0,1,1,0,3,0,2,4
Aurukun Shire Council,2015-08-01,2015,8,August,Aug 2015,Juvenile,Male,0,0,0,0,0,0,2,0,0,0,0
Aurukun Shire Council,2015-09-01,2015,9,September,Sep 2015,Adult,Female,1,0,0,0,0,0,0,0,0,0,2
Aurukun Shire Council,2015-09-01,2015,9,September,Sep 2015,Adult,Male,6,0,3,0,0,0,0,3,0,4,1
Aurukun Shire Council,2015-10-01,2015,10,October,Oct 2015,Adult,Female,1,0,0,0,0,0,0,1,0,0,1
